flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_duration_of_event_seconds,p14_terrain_elevation_at_start_of_event_ft,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2723451,27/09/2019 10:49,VH-VYL,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40633888,Pitch Rate Low during Rotation,Level 2,Not a False Positive,488,512,4,9.01089859,0,-0.001710461,0.008186845,0,5,-0.642573953,5.203769787,0
2724222,28/09/2019 6:40,VH-VYJ,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40633447,Airborne Speed High,Level 2,Not a False Positive,662,682,0,364.4911194,2,0.001335144,0.004569986,0,5,-0.826390207,5.22752401,0
2724792,29/09/2019 4:54,VH-VZP,737-800,QFA - 737-800 (1024 wps),YPPH,YSSY,40633090,Pitch Rate Low during Rotation,Level 2,Not a False Positive,504,528,4,51.45714951,2,-3.26E-04,0.022439264,0,15,-1.654518247,15.05863698,0
2726347,30/09/2019 2:38,VH-VZM,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40632151,Rotation Speed High,Level 2,Not a False Positive,326,346,0,1863.713501,0,-9.54E-05,0.676774234,0,5,-0.458834648,4.965483691,0
2726828,30/09/2019 21:03,VH-VXE,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40631563,Pitch Rate Low during Rotation,Level 2,Not a False Positive,80,104,4,6.607008457,0,241.1243808,0.171291978,0,5,-0.458834648,4.965483691,0
2726828,30/09/2019 21:03,VH-VXE,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40631564,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Synchronization Error,80,100,0,6.607008457,0,249.1649628,0.171291978,0,5,-0.458834648,4.965483691,1
2726850,30/09/2019 20:37,VH-VXQ,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40631788,Climb Speed High,Level 2,Not a False Positive,549,572,3,10.99137306,2,0.004614853,0.00366522,0,1,-0.734472454,1.007913345,0
2727649,1/10/2019 22:37,VH-VZZ,737-800,QFA - 737-800 (1024 wps),YPAD,YAYE,40630733,GPWS: Sink Rate,Level 2,Not a False Positive,6954,6975,1,1625.068848,2,0.826409237,0.032719798,0,30,3.017686605,29.92190425,0
2727714,1/10/2019 22:59,VH-XZP,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40630638,Airborne Speed High,Level 2,Not a False Positive,635,655,0,17.0254879,4,0.833892822,0.014512127,0,1,-1.562426805,1.003406133,0
2727762,1/10/2019 23:15,VH-VZO,737-800,QFA - 737-800 (1024 wps),YBTL,YBBN,40630485,High Rate of Descent 1000 ft HAT -> 500 HAT,Level 2,Not a False Positive,5655,5679,4,-0.432265252,0,2.00E-05,0.002461544,0,30,3.746097088,30.19537099,0
